location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Mean Sea Level Pressure,Mean Sea Level Pressure,Mean Sea Level Pressure,Precipitation Total,Cloud Cover Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,%,%,%,hPa,hPa,hPa,mm,%,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m,MSL,MSL,MSL,sfc,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Summation,Mean,Minimum,Maximum,Mean,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Mean Sea Level Pressure [MSL],Basel Mean Sea Level Pressure [MSL],Basel Mean Sea Level Pressure [MSL],Basel Precipitation Total,Basel Cloud Cover Total,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m]
20080129T0000,3.3305285,11.460529,7.4367795,59.0,92.0,76.166664,1024.7,1031.1,1027.75,0.0,89.791664,0.5328,2.6237357,1.5745219,57.136818
20080130T0000,2.1505284,8.260529,5.519279,58.0,91.0,73.375,1023.8,1028.2,1025.2,2.5,91.96667,0.3767465,17.452759,9.372938,274.8216
20080131T0000,0.53052866,5.6805286,2.8134453,58.0,96.0,81.791664,1015.9,1030.5,1024.6918,0.5,92.875,0.5328,15.986219,8.223562,268.64215
20080201T0000,3.0605285,10.060529,6.7896953,42.0,73.0,59.666668,1002.0,1015.4,1007.6541,2.1,83.262505,3.013972,36.17551,24.202436,227.51253
20080202T0000,1.1605287,4.8105288,2.7805288,63.0,93.0,80.666664,1006.5,1023.8,1016.45825,2.7,50.166668,2.3976,18.156286,11.294934,274.72345
20080203T0000,-1.8694713,8.230529,2.1205287,54.0,88.0,72.375,1010.2,1023.5,1016.79584,0.0,0.5375,5.0052013,14.803788,9.344158,117.83601
20080204T0000,-2.0594714,6.7005286,2.8696954,69.0,92.0,79.5,1005.6,1016.2,1009.13324,1.1,80.504166,3.4115846,17.745121,10.426818,174.38397
20080205T0000,1.5405287,10.590529,5.753445,52.0,89.0,73.541664,1016.8,1021.4,1019.80414,3.2,77.262505,4.743117,14.777397,8.009304,200.29758
20080206T0000,6.3505287,11.970529,9.892196,63.0,81.0,70.041664,1019.6,1032.8,1024.7001,0.1,54.625,10.248612,26.794067,19.754976,254.30371
20080207T0000,3.8105285,8.020529,5.3226123,75.0,97.0,86.25,1033.5,1038.8,1037.3541,0.0,50.416668,0.9605189,7.329631,4.1258955,349.90894
20080208T0000,0.070528656,10.510529,4.198029,28.0,93.0,70.0,1034.5,1039.3,1037.0001,0.0,0.41250002,2.382754,9.232211,4.8640313,108.48404
20080209T0000,0.43052867,8.600529,4.0113616,53.0,70.0,61.875,1033.9,1036.4,1035.1918,0.0,0.0,1.8837326,9.608882,5.413,117.73972
20080210T0000,-0.27947134,6.7505283,3.4355285,64.0,92.0,78.375,1032.8,1035.8,1034.0875,0.0,9.3625,0.0,8.172013,3.5850608,98.97262
20080211T0000,-0.65947133,8.5505295,2.633862,58.0,97.0,78.625,1030.8,1034.2,1033.1625,0.0,39.220833,1.3583788,9.014403,4.4981,153.8861
